ID,Title,User Story,Acceptance Criteria,Initial SP
US-A,Instructor Sign-In,"As an instructor, I want to sign in with Google Sign-In or equivalent federated auth so that I can use instructor functions securely.","- Valid federated sign-in returns successful authentication. - Identity not mapped to an instructor account returns a clear error. - Backend verifies identity before allowing instructor functions.",3
US-B,Student Sign-In,"As a student, I want to sign in with Google Sign-In or equivalent federated auth so that I can use student functions securely.","- Valid federated sign-in returns successful authentication. - Identity not mapped to a student account returns a clear error. - Backend verifies identity before allowing student functions.",3
US-C,Role and Course Mapping,"As a system, I want to map authenticated users to platform roles and course access so that only authorized users can use protected resources.","- Authenticated instructor identities are mapped correctly. - Authenticated student identities are mapped correctly. - Server-side authorization rejects unauthorized access. - Authorization enforced in backend.",5
US-D,List Assigned Courses,"As an instructor, I want to list only my assigned courses so that I cannot access unrelated courses.","- Only assigned courses are returned. - Access to non-assigned courses is rejected. - Another instructor's course is never visible.",3
US-E,List Activities,"As an instructor, I want to list activities in a selected course so that I can choose which activity to manage.","- Course activity list is returned correctly. - Items include activity number and status. - List order is deterministic.",3
US-F,Create Activity,"As an instructor, I want to create a new activity with text and objectives so that I can prepare class activities.","- Activity can be created with required fields. - Missing fields returns error. - Duplicate activity number in same course is rejected.",5
US-G,Update Activity,"As an instructor, I want to update activity text and objectives so that I can revise content before class.","- Only allowed fields can be updated. - Empty patch is rejected. - Non-existent activity returns error.",5
US-H,Start/End Activity,"As an instructor, I want to start and end an activity so that class timing is controlled by the instructor.","- Start sets state to ACTIVE. - End sets state to ENDED. - ENDED activity cannot accept new score logs.",5
US-I,Student Access Control,"As a student, I want to access activity content only when the activity is ACTIVE so that class rules are enforced.","- NOT_STARTED activity is not accessible. - ACTIVE activity returns text without objectives. - ENDED activity is not accessible. - Unauthorized student access is rejected.",5
US-J,Tutoring Flow,"As a student, I want to submit answers and receive the next guiding question so that I can progress step by step.","- First response shows text and one question. - System returns one question per step. - Questions steer toward objectives. - Progress stored per student. - Responses in English. - Blocked if ENDED.",8
US-K,Objective Scoring,"As a system, I want to increase score when an objective is achieved so that grading is objective based.","- First achievement adds +1. - No repeat points. - All changes logged with metadata. - Immediate score announcement and mini-lesson. - Celebration on completion.",8
US-L,Manual Grading,"As an instructor, I want to enter manual grades for exceptions so that classroom disruptions can be handled.","- Instructor can submit manual grade. - Manual grade is logged. - Unauthorized instructor access is rejected.",5
US-M,Reset Activity,"As an instructor, I want to reset an activity by deleting all student scores and closing the activity.","- All score records for course/activity deleted. - State set to ENDED. - New logs blocked after reset.",5
